Supplier,SupplierType,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore,LeadTime,FulfillmentRate,ResponseTime
JMD Manufacturing Support Vendor-793,Engineering,85,11,12,76,3,91,2
North India Alloys Vendor-794,Steel,91,3,9,92,6,97,5
ToolCraft Industries Vendor-795,Tools,76,11,7,84,11,94,4
Velocity Auto Parts Vendor-796,Auto Components,88,1,11,91,8,89,3
Reliable Alloy Works Vendor-797,Steel,98,9,2,75,10,96,1
Industrial Bearings Co Vendor-798,Bearings,77,7,13,93,8,95,6
Industrial Engineering Works Vendor-799,Engineering,82,7,10,81,12,90,4
Precision Casting Works Vendor-800,Castings,87,7,15,86,8,89,3
Precision Casting Works Vendor-801,Castings,70,2,12,75,4,100,6
Northern Engineering Ltd Vendor-802,Engineering,72,3,12,100,8,99,6
Apex Engineering Systems Vendor-803,Engineering,75,8,10,88,10,99,4
AutoTech Components Vendor-804,Auto Components,75,7,11,75,11,100,6
FlexiRubber Products Vendor-805,Rubber,78,7,10,93,7,86,1
ProTool Manufacturing Vendor-806,Tools,73,10,9,97,3,89,6
Motion Bearing Systems Vendor-807,Bearings,86,2,10,94,3,92,4
Precision Fasteners Vendor-808,Fasteners,95,10,6,94,2,95,5
Steel Forge Solutions Vendor-809,Steel,84,9,9,93,7,98,3
Precision Bearings Ltd Vendor-810,Bearings,75,1,13,94,6,93,1
Titan Tooling Solutions Vendor-811,Tools,75,10,2,96,6,85,3
Apex Industrial Tools Vendor-812,Tools,74,9,3,100,6,93,2
Precision Bearings Ltd Vendor-813,Bearings,97,5,2,98,3,90,5
FoundryTech Castings Vendor-814,Castings,81,3,6,100,5,100,2
Reliable Alloy Works Vendor-815,Steel,72,3,11,79,9,98,4
Prime Rubber Components Vendor-816,Rubber,93,11,4,81,11,96,1
Industrial Bearings Co Vendor-817,Bearings,71,3,9,87,9,94,4
Prime Rubber Components Vendor-818,Rubber,91,12,8,90,6,89,5
Shakti Engineering Supplies Vendor-819,Engineering,79,8,8,96,7,86,1
Precision Auto Systems Vendor-820,Auto Components,89,11,15,83,7,93,3
FastenPro Industries Vendor-821,Fasteners,90,10,8,89,12,92,6
FlexiRubber Products Vendor-822,Rubber,80,11,13,80,7,85,6
Punjab Steel Works Vendor-823,Steel,70,7,3,91,3,99,3
Industrial Elastomers Vendor-824,Rubber,78,4,2,75,11,87,1
FlexiRubber Products Vendor-825,Rubber,90,2,13,78,3,89,4
Guru Nanak Castings Vendor-826,Castings,92,3,6,84,9,87,6
ProTool Manufacturing Vendor-827,Tools,94,7,13,96,7,93,2
FastenPro Industries Vendor-828,Fasteners,94,1,8,87,7,86,3
BearingTech Industries Vendor-829,Bearings,84,2,9,81,11,97,2
Apex Industrial Tools Vendor-830,Tools,74,9,14,88,5,88,4
Industrial Bearings Co Vendor-831,Bearings,71,2,3,93,6,99,1
ToolCraft Industries Vendor-832,Tools,90,11,2,76,12,97,3
Elite Cast Products Vendor-833,Castings,98,7,11,75,10,100,4
Industrial Engineering Works Vendor-834,Engineering,97,12,14,100,3,92,1
Industrial Engineering Works Vendor-835,Engineering,73,10,10,86,7,94,4
Punjab Steel Works Vendor-836,Steel,81,9,15,85,3,99,3
RubberTech Solutions Vendor-837,Rubber,87,1,8,96,5,94,6
Shakti Engineering Supplies Vendor-838,Engineering,90,12,7,90,3,99,6
RubberTech Solutions Vendor-839,Rubber,71,4,2,98,11,92,4
Shakti Engineering Supplies Vendor-840,Engineering,95,9,12,84,9,99,1
Reliable Alloy Works Vendor-841,Steel,71,6,14,98,2,97,1
FlexiRubber Products Vendor-842,Rubber,84,11,15,92,4,92,1
North India Alloys Vendor-843,Steel,85,11,2,90,11,86,2
Guru Nanak Castings Vendor-844,Castings,75,11,2,84,3,99,5
Northern Cast Components Vendor-845,Castings,72,2,3,90,11,92,1
Prime Rubber Components Vendor-846,Rubber,80,12,12,87,7,88,6
Elite Cast Products Vendor-847,Castings,96,4,14,76,11,90,3
Doaba Fasteners Vendor-848,Fasteners,78,3,14,88,4,96,5
FoundryTech Castings Vendor-849,Castings,77,10,2,79,3,97,2
Steel Forge Solutions Vendor-850,Steel,72,1,2,80,3,94,4
ToolCraft Industries Vendor-851,Tools,76,3,12,83,10,99,4
RubberTech Solutions Vendor-852,Rubber,89,12,2,94,4,100,5
FastenPro Industries Vendor-853,Fasteners,81,7,2,92,5,91,1
Precision Fasteners Vendor-854,Fasteners,81,9,10,82,9,91,3
North India Alloys Vendor-855,Steel,73,3,12,90,9,90,2
Punjab Steel Works Vendor-856,Steel,90,6,6,81,8,93,3
Apex Industrial Tools Vendor-857,Tools,73,12,2,92,4,90,1
Titan Tooling Solutions Vendor-858,Tools,73,2,5,98,9,95,4
Industrial Elastomers Vendor-859,Rubber,77,2,7,82,3,92,6
Northern Engineering Ltd Vendor-860,Engineering,82,4,3,90,11,100,1
Northern Engineering Ltd Vendor-861,Engineering,76,10,9,80,8,96,2
ToolCraft Industries Vendor-862,Tools,90,6,6,81,7,89,1
Reliable Alloy Works Vendor-863,Steel,74,2,15,89,9,98,2
AutoTech Components Vendor-864,Auto Components,98,5,11,80,12,90,5
Punjab Rubber Industries Vendor-865,Rubber,83,9,9,81,11,100,4
Industrial Bearings Co Vendor-866,Bearings,93,7,13,82,5,95,4
FlexiRubber Products Vendor-867,Rubber,74,10,2,88,2,86,4
Steel Forge Solutions Vendor-868,Steel,86,7,9,100,3,99,4
Punjab Rubber Industries Vendor-869,Rubber,87,1,13,98,8,91,2
DriveLine Products Vendor-870,Auto Components,77,11,3,75,9,94,2
Titan Tooling Solutions Vendor-871,Tools,93,10,2,89,9,89,6
Northern Engineering Ltd Vendor-872,Engineering,95,6,12,89,12,85,6
Industrial Bolt Works Vendor-873,Fasteners,98,12,7,91,2,94,4
North Bearings Vendor-874,Bearings,87,10,14,81,12,87,5
Velocity Auto Parts Vendor-875,Auto Components,86,11,7,76,3,97,3
Titan Tooling Solutions Vendor-876,Tools,71,6,7,80,12,87,5
RubberTech Solutions Vendor-877,Rubber,80,4,10,78,12,100,6
RubberTech Solutions Vendor-878,Rubber,80,6,6,91,12,98,3
Punjab Steel Works Vendor-879,Steel,81,6,9,90,10,88,4
Motion Bearing Systems Vendor-880,Bearings,89,6,14,96,3,91,4
Doaba Fasteners Vendor-881,Fasteners,82,3,6,77,3,90,3
Titan Fastening Systems Vendor-882,Fasteners,85,3,15,81,10,85,3
Apex Engineering Systems Vendor-883,Engineering,99,3,9,86,8,99,6
Reliable Alloy Works Vendor-884,Steel,76,2,2,100,5,95,4
DriveLine Products Vendor-885,Auto Components,85,10,12,97,10,99,4
North Bearings Vendor-886,Bearings,74,5,4,100,6,92,4
DriveLine Products Vendor-887,Auto Components,94,1,4,86,6,99,2
Northern Cast Components Vendor-888,Castings,79,3,4,97,12,89,2
Punjab Rubber Industries Vendor-889,Rubber,71,6,11,79,9,93,3
Precision Casting Works Vendor-890,Castings,87,12,2,96,7,96,2
Precision Auto Systems Vendor-891,Auto Components,87,3,10,84,3,85,4
ToolCraft Industries Vendor-892,Tools,84,6,4,75,10,95,6
Motion Bearing Systems Vendor-893,Bearings,98,5,14,93,12,89,5
ProTool Manufacturing Vendor-894,Tools,92,2,13,90,2,89,6
FastenPro Industries Vendor-895,Fasteners,70,7,11,82,9,96,1
Velocity Auto Parts Vendor-896,Auto Components,89,11,5,93,10,92,3
Punjab Rubber Industries Vendor-897,Rubber,72,9,15,89,12,87,5
Northern Engineering Ltd Vendor-898,Engineering,85,6,11,94,10,86,6
Precision Auto Systems Vendor-899,Auto Components,74,12,15,88,7,97,3
Reliable Alloy Works Vendor-900,Steel,81,6,6,89,10,87,2
Industrial Tool Works Vendor-901,Tools,95,8,6,80,8,98,2
Titan Fastening Systems Vendor-902,Fasteners,76,5,9,91,7,87,5
Shakti Engineering Supplies Vendor-903,Engineering,70,7,12,83,8,90,5
Titan Tooling Solutions Vendor-904,Tools,94,3,5,80,8,94,5
Apex Industrial Tools Vendor-905,Tools,96,5,15,93,6,100,5
ToolCraft Industries Vendor-906,Tools,70,1,4,83,6,100,1
Motion Bearing Systems Vendor-907,Bearings,75,8,13,95,5,85,1
Motion Bearing Systems Vendor-908,Bearings,72,10,13,86,11,100,5
JMD Manufacturing Support Vendor-909,Engineering,90,11,9,97,3,96,5
Reliable Alloy Works Vendor-910,Steel,75,10,2,79,7,99,6
Elite Cast Products Vendor-911,Castings,75,1,6,86,8,96,1
Precision Bearings Ltd Vendor-912,Bearings,86,11,3,91,5,90,1
Northern Cast Components Vendor-913,Castings,80,6,15,96,6,93,6
Velocity Auto Parts Vendor-914,Auto Components,87,10,7,79,2,89,5
Precision Bearings Ltd Vendor-915,Bearings,94,8,8,85,4,88,2
Northern Cast Components Vendor-916,Castings,77,4,14,92,11,88,4
Apex Industrial Tools Vendor-917,Tools,73,3,2,90,7,94,6
AutoTech Components Vendor-918,Auto Components,96,8,11,91,7,90,6
Industrial Bearings Co Vendor-919,Bearings,93,2,5,79,4,92,3
Precision Casting Works Vendor-920,Castings,74,2,8,97,3,87,1
Industrial Tool Works Vendor-921,Tools,71,4,3,76,12,86,4
FastenPro Industries Vendor-922,Fasteners,71,2,6,96,2,88,1
FlexiRubber Products Vendor-923,Rubber,98,4,4,96,7,85,1
Elite Cast Products Vendor-924,Castings,88,6,7,80,10,92,5
Doaba Fasteners Vendor-925,Fasteners,96,10,14,75,10,91,6
Industrial Elastomers Vendor-926,Rubber,75,9,2,98,3,91,5
ProTool Manufacturing Vendor-927,Tools,92,10,4,89,12,88,2
Precision Auto Systems Vendor-928,Auto Components,83,4,10,82,8,88,3
Industrial Bolt Works Vendor-929,Fasteners,73,9,4,90,7,94,5
Punjab Steel Works Vendor-930,Steel,80,8,3,87,6,99,5
Motion Bearing Systems Vendor-931,Bearings,77,9,8,84,8,91,1
ProTool Manufacturing Vendor-932,Tools,75,1,12,90,12,88,4
Titan Tooling Solutions Vendor-933,Tools,91,11,3,78,4,97,4
Titan Fastening Systems Vendor-934,Fasteners,72,6,5,85,5,97,1
Prime Rubber Components Vendor-935,Rubber,93,8,6,99,11,93,6
JMD Manufacturing Support Vendor-936,Engineering,85,11,11,87,9,93,2
Apex Industrial Tools Vendor-937,Tools,73,5,9,90,5,89,1
Doaba Fasteners Vendor-938,Fasteners,96,2,9,96,2,90,4
AutoTech Components Vendor-939,Auto Components,79,10,11,78,3,100,4
Industrial Elastomers Vendor-940,Rubber,91,8,9,91,6,95,5
Punjab Steel Works Vendor-941,Steel,83,2,8,89,7,97,4
Apex Industrial Tools Vendor-942,Tools,71,3,10,96,6,90,4
Northern Engineering Ltd Vendor-943,Engineering,79,12,8,90,3,100,6
Industrial Tool Works Vendor-944,Tools,87,3,10,76,8,93,4
Apex Engineering Systems Vendor-945,Engineering,91,6,14,84,7,86,1
North India Alloys Vendor-946,Steel,96,6,7,100,11,85,6
Precision Auto Systems Vendor-947,Auto Components,73,7,7,86,8,96,1
RubberTech Solutions Vendor-948,Rubber,77,11,6,93,3,87,3
FastenPro Industries Vendor-949,Fasteners,75,1,10,85,2,99,6
Apex Engineering Systems Vendor-950,Engineering,86,7,6,75,9,85,3
Apex Engineering Systems Vendor-951,Engineering,82,6,11,78,9,88,6
Industrial Elastomers Vendor-952,Rubber,85,9,14,99,12,95,2
Precision Bearings Ltd Vendor-953,Bearings,83,4,9,95,3,91,3
Industrial Bearings Co Vendor-954,Bearings,79,10,8,100,5,87,6
Precision Fasteners Vendor-955,Fasteners,80,5,3,93,10,100,4
Industrial Elastomers Vendor-956,Rubber,95,2,12,84,10,94,4
AutoTech Components Vendor-957,Auto Components,83,7,6,94,10,99,6
Guru Nanak Castings Vendor-958,Castings,90,12,10,80,11,100,2
ProTool Manufacturing Vendor-959,Tools,99,11,10,100,11,98,5
Prime Metal Fabricators Vendor-960,Steel,76,6,9,79,5,89,6
Motion Bearing Systems Vendor-961,Bearings,83,6,15,77,12,91,4
Precision Bearings Ltd Vendor-962,Bearings,90,3,6,96,11,92,4
Punjab Rubber Industries Vendor-963,Rubber,74,4,2,82,6,99,4
Industrial Engineering Works Vendor-964,Engineering,90,1,5,80,6,89,1
Precision Bearings Ltd Vendor-965,Bearings,91,9,4,95,2,100,1
Punjab Steel Works Vendor-966,Steel,80,10,6,77,8,96,6
Industrial Bolt Works Vendor-967,Fasteners,96,12,15,79,5,88,5
Precision Fasteners Vendor-968,Fasteners,91,10,14,91,6,100,1
FlexiRubber Products Vendor-969,Rubber,73,6,7,93,8,92,4
RubberTech Solutions Vendor-970,Rubber,73,3,5,83,9,98,3
Steel Forge Solutions Vendor-971,Steel,87,6,13,78,7,98,4
Industrial Elastomers Vendor-972,Rubber,98,3,7,90,7,94,1
Punjab Steel Works Vendor-973,Steel,92,11,5,83,10,97,3
Velocity Auto Parts Vendor-974,Auto Components,87,4,15,89,8,85,4
Precision Bearings Ltd Vendor-975,Bearings,72,4,6,81,4,99,6
Precision Auto Systems Vendor-976,Auto Components,95,1,6,77,9,100,6
JMD Manufacturing Support Vendor-977,Engineering,92,7,15,78,4,93,5
FastenPro Industries Vendor-978,Fasteners,83,10,13,92,7,99,6
Punjab Steel Works Vendor-979,Steel,90,11,4,95,9,89,1
Northern Engineering Ltd Vendor-980,Engineering,90,5,7,93,3,88,2
FlexiRubber Products Vendor-981,Rubber,92,11,14,79,11,98,3
Industrial Tool Works Vendor-982,Tools,97,12,4,83,4,95,3
Punjab Rubber Industries Vendor-983,Rubber,83,6,4,87,8,92,1
Prime Metal Fabricators Vendor-984,Steel,90,10,12,82,3,99,2
BearingTech Industries Vendor-985,Bearings,71,7,11,88,11,93,2
FastenPro Industries Vendor-986,Fasteners,75,10,3,75,10,98,4
Apex Industrial Tools Vendor-987,Tools,77,12,5,81,6,94,6
Industrial Tool Works Vendor-988,Tools,74,7,15,81,11,91,3
Prime Rubber Components Vendor-989,Rubber,75,7,14,79,2,94,3
FlexiRubber Products Vendor-990,Rubber,84,4,7,93,12,99,1
Steel Forge Solutions Vendor-991,Steel,74,6,13,87,12,91,6
Industrial Engineering Works Vendor-992,Engineering,93,10,6,77,3,86,1
AutoTech Components Vendor-993,Auto Components,85,6,11,96,11,86,1
North Bearings Vendor-994,Bearings,89,7,6,87,12,96,2
Prime Metal Fabricators Vendor-995,Steel,75,5,4,91,9,95,4
Guru Nanak Castings Vendor-996,Castings,80,12,10,88,4,93,1
Velocity Auto Parts Vendor-997,Auto Components,74,8,15,83,7,98,3
North Bearings Vendor-998,Bearings,96,5,10,85,8,90,3
ToolCraft Industries Vendor-999,Tools,87,11,12,100,9,86,2
Guru Nanak Castings Vendor-1000,Castings,77,3,2,90,6,90,6
